2022-03-08 15:32:09,819 INFO    MainThread:13772 [wandb_setup.py:_flush():75] Loading settings from C:\Users\Safwen\.config\wandb\settings
2022-03-08 15:32:09,820 INFO    MainThread:13772 [wandb_setup.py:_flush():75] Loading settings from C:\Users\Safwen\Desktop\Tensorborad\wandb\settings
2022-03-08 15:32:09,820 INFO    MainThread:13772 [wandb_setup.py:_flush():75] Loading settings from environment variables: {}
2022-03-08 15:32:09,820 INFO    MainThread:13772 [wandb_setup.py:_flush():75] Inferring run settings from compute environment: {'program_relpath': 'main_0.py', 'program': 'main_0.py'}
2022-03-08 15:32:09,820 INFO    MainThread:13772 [wandb_init.py:_log_setup():386] Logging user logs to C:\Users\Safwen\Desktop\Tensorborad\wandb\run-20220308_153209-rn8kjrzt\logs\debug.log
2022-03-08 15:32:09,821 INFO    MainThread:13772 [wandb_init.py:_log_setup():387] Logging internal logs to C:\Users\Safwen\Desktop\Tensorborad\wandb\run-20220308_153209-rn8kjrzt\logs\debug-internal.log
2022-03-08 15:32:09,821 INFO    MainThread:13772 [wandb_init.py:init():420] calling init triggers
2022-03-08 15:32:09,821 INFO    MainThread:13772 [wandb_init.py:init():425] wandb.init called with sweep_config: {}
config: {}
2022-03-08 15:32:09,821 INFO    MainThread:13772 [wandb_init.py:init():471] starting backend
2022-03-08 15:32:09,821 INFO    MainThread:13772 [backend.py:_multiprocessing_setup():99] multiprocessing start_methods=spawn, using: spawn
2022-03-08 15:32:09,824 INFO    MainThread:13772 [backend.py:ensure_launched():219] starting backend process...
2022-03-08 15:32:09,925 INFO    MainThread:13772 [backend.py:ensure_launched():224] started backend process with pid: 21676
2022-03-08 15:32:09,926 INFO    MainThread:13772 [wandb_init.py:init():480] backend started and connected
2022-03-08 15:32:09,928 INFO    MainThread:13772 [wandb_init.py:init():550] updated telemetry
2022-03-08 15:32:09,998 INFO    MainThread:13772 [wandb_init.py:init():581] communicating current version
2022-03-08 15:32:12,714 INFO    MainThread:13772 [wandb_init.py:init():586] got version response upgrade_message: "wandb version 0.12.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-03-08 15:32:12,715 INFO    MainThread:13772 [wandb_init.py:init():596] communicating run to backend with 30 second timeout
2022-03-08 15:32:13,112 INFO    MainThread:13772 [wandb_init.py:init():624] starting run threads in backend
2022-03-08 15:32:18,130 INFO    MainThread:13772 [wandb_run.py:_console_start():1827] atexit reg
2022-03-08 15:32:18,132 INFO    MainThread:13772 [wandb_run.py:_redirect():1701] redirect: SettingsConsole.WRAP
2022-03-08 15:32:18,133 INFO    MainThread:13772 [wandb_run.py:_redirect():1738] Wrapping output streams.
2022-03-08 15:32:18,138 INFO    MainThread:13772 [wandb_run.py:_redirect():1762] Redirects installed.
2022-03-08 15:32:18,138 INFO    MainThread:13772 [wandb_init.py:init():651] run started, returning control to user process
2022-03-08 15:32:18,138 INFO    MainThread:13772 [wandb_config.py:__setitem__():144] config set batch_size = 4 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000265268A5880>>
2022-03-08 15:32:18,139 INFO    MainThread:13772 [wandb_run.py:_config_callback():966] config_cb batch_size 4 None
2022-03-08 15:32:18,139 INFO    MainThread:13772 [wandb_config.py:__setitem__():144] config set test_batch_size = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000265268A5880>>
2022-03-08 15:32:18,139 INFO    MainThread:13772 [wandb_run.py:_config_callback():966] config_cb test_batch_size 10 None
2022-03-08 15:32:18,140 INFO    MainThread:13772 [wandb_config.py:__setitem__():144] config set epochs = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000265268A5880>>
2022-03-08 15:32:18,140 INFO    MainThread:13772 [wandb_run.py:_config_callback():966] config_cb epochs 50 None
2022-03-08 15:32:18,140 INFO    MainThread:13772 [wandb_config.py:__setitem__():144] config set learning_rate = 0.1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000265268A5880>>
